"type","Settled_Time","Market_Title","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents"
"Settlement","2024-04-02T13:00:15.204255Z","Will the **high temp in NYC** be >55° on Apr 1 2024?","no","0.00","5","20.00","0","0.00"
"Settlement","2024-04-02T12:01:02.084887Z","Will the **high temp in Miami** be 78-79° on Apr 1 2024?","no","0.00","0","0.00","0","0.00"
"Settlement","2024-04-02T12:00:55.174614Z","Will the **high temp in Austin** be <83° on Apr 1 2024?","yes","217.00","217","29.87","0","0.00"
"Settlement","2024-04-02T12:00:45.209536Z","Will the high temp in Chicago be >49° on Apr 1 2024?","yes","0.00","0","0.00","0","0.00"
"Settlement","2024-04-01T12:01:15.209379Z","Will the **high temp in Miami** be 77-78° on Mar 31 2024?","no","0.00","1000","40.00","0","0.00"
"Settlement","2024-04-01T12:01:08.084944Z","Will the **high temp in Austin** be <79° on Mar 31 2024?","no","0.00","1000","50.00","0","0.00"
"Settlement","2024-04-01T12:01:00.594687Z","Will the **high temp in NYC** be 61-62° on Mar 31 2024?","yes","0.00","0","0.00","0","0.00"
"Settlement","2024-04-01T12:00:52.064325Z","Will the high temp in Chicago be >50° on Mar 31 2024?","yes","0.00","0","0.00","0","0.00"
"Settlement","2024-03-31T12:01:16.074022Z","Will the **high temp in Miami** be 79-80° on Mar 30 2024?","yes","0.00","0","0.00","0","0.00"
"Settlement","2024-03-31T12:01:08.085064Z","Will the **high temp in Austin** be 77-78° on Mar 30 2024?","yes","0.00","0","0.00","0","0.00"
"Settlement","2024-03-31T12:01:00.259606Z","Will the **high temp in NYC** be 57-58° on Mar 30 2024?","no","0.00","0","0.00","0","0.00"
"Settlement","2024-03-31T12:00:52.084803Z","Will the high temp in Chicago be <55° on Mar 30 2024?","no","0.00","19","70.00","0","0.00"
"Settlement","2024-03-30T12:01:06.111187Z","Will the **high temp in Miami** be >80° on Mar 29 2024?","no","0.00","0","0.00","0","0.00"
"Settlement","2024-03-30T12:00:59.065034Z","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","no","0.00","0","0.00","0","0.00"
"Settlement","2024-03-30T12:00:51.099761Z","Will the **high temp in NYC** be <51° on Mar 29 2024?","no","0.00","1000","49.95","0","0.00"
"Settlement","2024-03-30T12:00:43.089491Z","Will the high temp in Chicago be 50-51° on Mar 29 2024?","no","0.00","10","1.00","0","0.00"
"Settlement","2024-03-24T12:01:18.448095Z","Will the **high temp in Miami** be 77-78° on Mar 23 2024?","no","0.00","68","9.87","0","0.00"
"Settlement","2024-03-24T12:01:10.423191Z","Will the **high temp in Austin** be 76-77° on Mar 23 2024?","no","0.00","1000","9.99","0","0.00"
"Settlement","2024-03-24T12:01:02.428424Z","Will the **high temp in NYC** be 52-53° on Mar 23 2024?","no","0.00","1000","10.00","0","0.00"
"Settlement","2024-03-24T12:00:53.42381Z","Will the high temp in Chicago be 38-39° on Mar 23 2024?","no","0.00","182","10.00","0","0.00"
"Settlement","2024-03-23T12:01:12.408495Z","Will the **high temp in Miami** be 79-80° on Mar 22 2024?","no","0.00","1000","10.00","0","0.00"
"Settlement","2024-03-23T12:01:05.428938Z","Will the **high temp in Austin** be 78-79° on Mar 22 2024?","yes","476.00","476","9.98","0","0.00"
"Settlement","2024-03-23T12:00:57.493566Z","Will the **high temp in NYC** be 47-48° on Mar 22 2024?","no","0.00","1000","10.00","0","0.00"
"Settlement","2024-03-23T12:00:48.513589Z","Will the high temp in Chicago be <42° on Mar 22 2024?","yes","1000.00","1000","10.00","0","0.00"
"Settlement","2024-03-21T12:01:12.451541Z","Will the **high temp in Miami** be 80-81° on Mar 20 2024?","no","0.00","1000","9.99","0","0.00"
"Settlement","2024-03-21T12:01:04.407001Z","Will the **high temp in Austin** be 67-68° on Mar 20 2024?","yes","69.00","69","19.72","0","0.00"
"Settlement","2024-03-21T12:00:47.42672Z","Will the high temp in Chicago be 39-40° on Mar 20 2024?","no","0.00","1000","9.99","0","0.00"
"Settlement","2024-03-20T12:01:16.311217Z","Will the **high temp in Miami** be >79° on Mar 19 2024?","no","0.00","0","0.00","0","0.00"
"Settlement","2024-03-20T12:01:08.311264Z","Will the **high temp in Austin** be 65-66° on Mar 19 2024?","yes","110.00","110","10.00","0","0.00"
"Settlement","2024-03-20T12:00:50.310654Z","Will the high temp in Chicago be 51-52° on Mar 19 2024?","no","0.00","1000","10.00","0","0.00"
"Settlement","2024-03-19T12:00:45.37619Z","Will the high temp in Chicago be 36-37° on Mar 18 2024?","yes","5000.00","5000","20.00","0","0.00"
"Settlement","2024-03-06T13:00:56.967067Z","Will the **high temp in NYC** be >54° on Mar 5 2024?","no","1000.00","0","0.00","1000","20.00"
"Settlement","2024-03-06T13:00:56.967067Z","Will the **high temp in NYC** be 49-50° on Mar 5 2024?","yes","1000.00","1000","30.00","0","0.00"
"Settlement","2024-03-06T13:00:48.972148Z","Will the high temp in Chicago be >49° on Mar 5 2024?","no","987.00","0","0.00","987","20.00"
"Settlement","2024-03-06T13:00:48.972148Z","Will the high temp in Chicago be 42-43° on Mar 5 2024?","no","0.00","1000","20.00","0","0.00"
"Settlement","2024-03-05T13:01:10.805849Z","Will the **high temp in Miami** be 81-82° on Mar 4 2024?","no","0.00","500","10.00","0","0.00"
"Settlement","2024-03-05T13:00:54.830648Z","Will the **high temp in NYC** be 54-55° on Mar 4 2024?","no","0.00","500","10.00","0","0.00"
"Settlement","2024-03-04T13:00:47.831153Z","Will the high temp in Chicago be <68° on Mar 3 2024?","no","0.00","5000","40.00","0","0.00"
"Settlement","2024-03-04T13:00:47.831153Z","Will the high temp in Chicago be 72-73° on Mar 3 2024?","no","0.00","0","0.00","0","0.00"
"Settlement","2024-03-03T13:01:24.831307Z","Will the **high temp in Miami** be 80-81° on Mar 2 2024?","yes","2000.00","2000","40.00","0","0.00"