"type","Status","Amount_In_Dollars","Market_Title","Market_Id","Original_Date","Filled","Canceled_By_You","Canceled_By_NSF","Canceled_By_Closing","Original_Placed","Remaining","Settled_Time","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Price_In_Cents","Fee_In_Dollars","Traded_Time","Direction","Deposit_Type","Last_Updated"
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Placed ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Placed ","","Will the **high temp in Austin** be 74-75° on Apr 3 2024?","c1e55b83-8334-4577-916f-59f82172da79","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Placed ","","Will the high temp in Chicago be >42° on Apr 3 2024?","583a5270-7fa2-4894-99cf-56ed8e3dc80f","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Placed ","","Will the **high temp in NYC** be 48-49° on Apr 3 2024?","5d0c9fe0-fd89-4d84-acc9-8e61e11ed5fb","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Settlement","","","Will the **high temp in Miami** be 81-82° on Apr 2 2024?","","","","","","","","","2024-04-03T12:01:14.445858Z","no","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Austin** be 81-82° on Apr 2 2024?","","","","","","","","","2024-04-03T12:01:06.451267Z","no","0.00","279","30.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in NYC** be >52° on Apr 2 2024?","","","","","","","","","2024-04-03T12:00:58.44522Z","no","0.00","1000","20.00","0","0.00","","","","","",""
"Settlement","","","Will the high temp in Chicago be >45° on Apr 2 2024?","","","","","","","","","2024-04-03T12:00:50.44581Z","yes","0.00","0","0.00","0","0.00","","","","","",""
"Order","Partially Filled / Partially Canceled","","Will the **high temp in Austin** be 81-82° on Apr 2 2024?","1e751fb3-1f5e-4ae3-8eeb-9fe6b52300ae","2 Apr 2024","279","0","0","721","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the high temp in Chicago be >45° on Apr 2 2024?","42af866c-dabd-4404-9759-27b8e9a37ed5","2 Apr 2024","0","0","0","1,000","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 81-82° on Apr 2 2024?","c408ab08-e2aa-4e52-a7de-b8407a3eea98","2 Apr 2024","0","0","0","1,000","1,000","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be >52° on Apr 2 2024?","e6a971be-4b89-4fc5-b1e9-b092c9d17a89","2 Apr 2024","1,000","0","0","0","1,000","0","","","","","","","","","","","","",""
"Trade","","1,000","Will the **high temp in NYC** be >52° on Apr 2 2024?","e6a971be-4b89-4fc5-b1e9-b092c9d17a89","2 Apr 2024","","","","","","","","","","","","","","20","0.00","Apr 2, 2024 at 11:42PM EDT","Yes","",""
"Trade","","279","Will the **high temp in Austin** be 81-82° on Apr 2 2024?","1e751fb3-1f5e-4ae3-8eeb-9fe6b52300ae","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 5:17PM EDT","Yes","",""
"Settlement","","","Will the **high temp in NYC** be >55° on Apr 1 2024?","","","","","","","","","2024-04-02T13:00:15.204255Z","no","0.00","5","20.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Miami** be 78-79° on Apr 1 2024?","","","","","","","","","2024-04-02T12:01:02.084887Z","no","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Austin** be <83° on Apr 1 2024?","","","","","","","","","2024-04-02T12:00:55.174614Z","yes","217.00","217","29.87","0","0.00","","","","","",""
"Settlement","","","Will the high temp in Chicago be >49° on Apr 1 2024?","","","","","","","","","2024-04-02T12:00:45.209536Z","yes","0.00","0","0.00","0","0.00","","","","","",""
"Order","Partially Filled / Partially Canceled","","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","1 Apr 2024","217","0","0","783","1,000","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:57AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:54AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:51AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:49AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:46AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:43AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:41AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:38AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:35AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:32AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:30AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:27AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:24AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:21AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:19AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:16AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:13AM EDT","Yes","",""
"Trade","","1","Will the **high temp in Austin** be <83° on Apr 1 2024?","661d67c6-beb1-4591-a14b-ef4bf1d7582d","2 Apr 2024","","","","","","","","","","","","","","30","0.00","Apr 2, 2024 at 12:10AM EDT","Yes","",""
"Order","Partially Filled / Partially Canceled","","Will the **high temp in NYC** be >55° on Apr 1 2024?","dc0cefb9-ad9f-440a-81b3-8ca0f7fb0c2f","1 Apr 2024","5","0","0","995","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the high temp in Chicago be >49° on Apr 1 2024?","24355087-b20d-47ef-a355-18f22d735cf0","1 Apr 2024","0","0","0","1,000","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 78-79° on Apr 1 2024?","0597cb72-14e4-4ede-96b5-4005d3c454df","1 Apr 2024","0","0","0","1,000","1,000","0","","","","","","","","","","","","",""
"Settlement","","","Will the **high temp in Miami** be 77-78° on Mar 31 2024?","","","","","","","","","2024-04-01T12:01:15.209379Z","no","0.00","1000","40.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Austin** be <79° on Mar 31 2024?","","","","","","","","","2024-04-01T12:01:08.084944Z","no","0.00","1000","50.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in NYC** be 61-62° on Mar 31 2024?","","","","","","","","","2024-04-01T12:01:00.594687Z","yes","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the high temp in Chicago be >50° on Mar 31 2024?","","","","","","","","","2024-04-01T12:00:52.064325Z","yes","0.00","0","0.00","0","0.00","","","","","",""
"Order","Canceled ","","Will the **high temp in NYC** be 61-62° on Mar 31 2024?","c162ba6f-bde6-4d61-b1f5-a9d922016a08","31 Mar 2024","0","0","0","1,000","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the high temp in Chicago be >50° on Mar 31 2024?","3f5f2cee-e8b3-4eab-878f-a023d526c571","31 Mar 2024","0","0","0","1,000","1,000","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 77-78° on Mar 31 2024?","9836bafc-7a45-4a1f-9732-2efb42b8ef84","31 Mar 2024","1,000","0","0","0","1,000","0","","","","","","","","","","","","",""
"Settlement","","","Will the **high temp in Miami** be 79-80° on Mar 30 2024?","","","","","","","","","2024-03-31T12:01:16.074022Z","yes","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Austin** be 77-78° on Mar 30 2024?","","","","","","","","","2024-03-31T12:01:08.085064Z","yes","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in NYC** be 57-58° on Mar 30 2024?","","","","","","","","","2024-03-31T12:01:00.259606Z","no","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the high temp in Chicago be <55° on Mar 30 2024?","","","","","","","","","2024-03-31T12:00:52.084803Z","no","0.00","19","70.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Miami** be >80° on Mar 29 2024?","","","","","","","","","2024-03-30T12:01:06.111187Z","no","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","","","","","","","","","2024-03-30T12:00:59.065034Z","no","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in NYC** be <51° on Mar 29 2024?","","","","","","","","","2024-03-30T12:00:51.099761Z","no","0.00","1000","49.95","0","0.00","","","","","",""
"Settlement","","","Will the high temp in Chicago be 50-51° on Mar 29 2024?","","","","","","","","","2024-03-30T12:00:43.089491Z","no","0.00","10","1.00","0","0.00","","","","","",""
"Deposit","Applied","200","","","28 February 2024 at 6:27:08 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:27:10 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:26:57 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:26:58 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:26:47 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:26:48 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:26:37 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:26:38 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:26:26 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:26:27 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:26:15 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:26:17 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:26:03 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:26:05 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:25:52 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:25:54 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:25:41 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:25:43 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:25:32 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:25:33 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:25:18 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:25:20 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:22:59 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:23:01 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:22:48 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:22:50 pm GMT-5"
"Deposit","Applied","100","","","28 February 2024 at 6:22:39 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:22:40 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:22:31 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:22:33 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:21:19 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:21:21 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:21:08 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:21:10 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:20:58 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:21:00 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:20:34 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:20:36 pm GMT-5"
"Deposit","Applied","200","","","28 February 2024 at 6:20:22 pm GMT-5","","","","","","","","","","","","","","","0","","","ach","28 February 2024 at 6:20:24 pm GMT-5"